Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
ms_231,231,manuscript,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.274408960292581,5.2297579758983844e-11,0.0017096403072125632
ms_107,107,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_53,53,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.24254725227602586,6.022692012433391e-06,0.007803995784647515
ms_71,71,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.24254725227602586,6.022692012433391e-06,0.007803995784647515
ms_67,67,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_16,16,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0005018130018130018,0.23066260430390867,1.1773025700564823e-07,0.0035366950620675424
ms_148,148,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_168,168,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22416506615450277,4.572489464570299e-08,0.002755265367300034
ms_172,172,manuscript,0,0,0.0,0.0,0.0,0.0,0.0,1.8677707056779937e-12,0.00167794128685817
ms_24,24,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_119,119,manuscript,2,1,1.0,1.0,0.008522727272727272,0.0004127816627816628,0.30029659805603204,3.8009133860547187e-10,0.0021646011884911085
ms_178,178,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21113715327628785,0.07411317050503362,0.006555257532264511
ms_196,196,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_29,29,manuscript,3,0,1.0,0.0,0.008522727272727272,0.0,0.279690471662229,1.5276496601740325e-08,0.007266892199366683
ms_25,25,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.27783051840096734,5.229757975898386e-11,0.0018188038085580056
ms_244,244,manuscript,2,1,1.0,1.0,0.008522727272727272,2.428127428127428e-05,0.20721023784027506,9.43772353544427e-06,0.0029246022667883224
ms_8,8,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2051750237178414,7.0788509745196e-10,0.0045847506752509
ms_101,101,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21689170255442156,7.078850974519598e-10,0.00239723271993797
ms_205,205,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.18234048752665777,7.078850974519598e-10,0.0020454604496183467
ms_59,59,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_265,265,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2611172762784091,5.2297579758983844e-11,0.0017096403072125632
ms_9,9,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_204,204,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.17684132996632998,5.2297579758983844e-11,0.002248523653237251
ms_163,163,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_288,288,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_296,296,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_106,106,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_50,50,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_215,215,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2148008442393083,7.078850974519598e-10,0.00311652415301777
ms_79,79,manuscript,2,1,1.0,1.0,0.008522727272727272,0.0002832815332815333,0.25474856222283815,4.823798013019272e-08,0.0019330296137805123
ms_195,195,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_180,180,manuscript,1,1,1.0,1.0,0.005681818181818182,0.00012140637140637142,0.2617307076244038,7.078850974519598e-10,0.00239723271993797
ms_32,32,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_104,104,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_185,185,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2314612975321078,0.3706254058488338,0.007293521240785781
ms_21,21,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.20568006993006993,1.8874739185791087e-05,0.003589901369039929
ms_151,151,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_271,271,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.19431983350951376,1.8677707056779937e-12,0.00167794128685817
